,학교명,주소,위도,경도
202,골든팰리스어린이집,전라북도 전주시 완산구 호암로 40,35.80882672,127.0995864
203,아르팰리스물앤빛어린이집,전라북도 전주시 완산구 호암로 41,35.81043018,127.0993336
204,아이다솜어린이집,전라북도 전주시 완산구 하거마3길 25,35.79416949,127.118182
205,하나캐슬어린이집,전라북도 전주시 완산구 장승배기로 46-10,35.79165061,127.118027
206,SK뷰 생글어린이집,전라북도 전주시 완산구 태평2길 22,35.82474079,127.1400321
207,서곡해뜰어린이집,전라북도 전주시 완산구 원서곡길 54-1,35.83266095,127.0940491
208,예대키즈어린이집,전라북도 전주시 완산구 평화14길 11,35.79199103,127.1348915
209,성산어린이집,전라북도 전주시 완산구 천경로 7,35.80694099,127.1530423
210,엠코동화어린이집,전라북도 전주시 완산구 평화동2가 양지3길 25-1,35.79009018,127.1202794
211,숲소리어린이집,전라북도 전주시 완산구 효자동3가 원서곡길 27,35.83431132,127.0960053
212,송림꽃무지풀무지어린이집,전라북도 전주시 완산구 효자동2가 한절길 67-44,35.80312996,127.0875019
213,오네뜨어린이집,전라북도 전주시 완산구 평화동1가 덕적골1길 50,35.79329229,127.1396979
214,세븐팰리스어린이집,전라북도 전주시 완산구 효자동2가 우전로 180,35.81024102,127.1017938
215,썬샤인어린이집,전라북도 전주시 완산구 효자동2가 우전로 96,35.80382675,127.1012507
216,이안키즈어린이집,전라북도 전주시 완산구 삼천동1가 용리로 165,35.79912396,127.1249104
217,서희스타어린이집,전라북도 전주시 완산구 효자동2가 홍산1길 21,35.81439897,127.1073162
218,예다음어린이집,전라북도 전주시 완산구 중화산동2가 안행로 165-5,35.81024885,127.131199
219,평화노벨어린이집,전라북도 전주시 완산구 평화동1가 덕적골2길 66,35.79333984,127.1411975
220,초록샘어린이집,전라북도 전주시 완산구 효자동2가 홍산1길 7,35.81410443,127.108626
221,아이다움어린이집,전라북도 전주시 완산구 효자동3가 홍산북로 83,35.81835354,127.1113605
222,신원아띠어린이집,전라북도 전주시 완산구 효자동1가 용머리로 101,35.80672988,127.1202424
223,힐스테이트어린이집,전라북도 전주시 완산구 효자동3가 세내로 291,35.81641036,127.1115189
224,아이원어린이집,전라북도 전주시 완산구 서곡로 8,35.83177947,127.0966134
225,서신피노키오어린이집,전라북도 전주시 완산구 새터로 95,35.83611797,127.1192697
226,조은생각어린이집,전라북도 전주시 완산구 서신로 102,35.83527881,127.1169762
227,꼬마들세상 어린이집,전라북도 전주시 완산구 덕적골1길 14,35.79622021,127.1380755
228,예쁜아가어린이집,전라북도 전주시 완산구 거마평로 125,35.80410034,127.1146346
229,도담아이어린이집,전라북도 전주시 완산구 삼천천변1길 45,35.79572647,127.1152545
230,신색동어린이집,전라북도 전주시 완산구 용리로 133,35.79768781,127.1243781
231,해랑꿈이랑어린이집,전라북도 전주시 완산구 거마평로 93,35.80106667,127.1159683
232,코코어린이집,전라북도 전주시 완산구 양지2길 52-7,35.79083253,127.1202094
233,디모데어린이집,전라북도 전주시 완산구 새터로 95,35.83611797,127.1192697
234,혜윰어린이집,전라북도 전주시 완산구 장승배기로 15,35.79344236,127.1151093
235,똑똑똑어린이집,전라북도 전주시 완산구 거마평로 125,35.80410034,127.1146346
236,성원가정어린이집,전라북도 전주시 완산구 새터로 60,35.83533777,127.1123274
237,서곡한빛어린이집,전라북도 전주시 완산구 서곡로 22,35.83025964,127.0984415
238,중흥사랑숲어린이집,전라북도 전주시 완산구 새터로 74,35.83521408,127.1142806
239,비테어린이집,전라북도 전주시 완산구 평화2길 13,35.78203212,127.1343488
240,행복주머니어린이집,전라북도 전주시 완산구 평화로 120,35.78752842,127.1352116
241,사랑나무어린이집,전라북도 전주시 완산구 새터로 95,35.83611797,127.1192697
242,양지가정어린이집,전라북도 전주시 완산구 양지2길 10,35.79100213,127.1208614
243,아띠어린이집,전라북도 전주시 완산구 평화7길 40,35.78510901,127.1391306
244,리틀영재어린이집,전라북도 전주시 완산구 신촌3길 1,35.81613409,127.117514
245,이문선가정어린이집,전라북도 전주시 완산구 서원로 270,35.81177985,127.1238644
246,해오름어린이집,전라북도 전주시 완산구 인봉남로 56,35.82593818,127.158897
247,미소짓는어린이집,전라북도 전주시 완산구 신촌3길 1,35.81613409,127.117514
248,행복한어린이집,전라북도 전주시 완산구 장승배기로 15,35.79344236,127.1151093
249,마미어린이집,전라북도 전주시 완산구 온고을로 121,35.83348323,127.1071126
250,열린아이세상어린이집,전라북도 전주시 완산구 온고을로 121,35.83348323,127.1071126
251,늘푸른동산어린이집,전라북도 전주시 완산구 따박골로 11,35.81010031,127.1244271
252,해뜨는어린이집,전라북도 전주시 완산구 장승배기로 15,35.79344236,127.1151093
253,뿡뿡이어린이집,전라북도 전주시 완산구 평화로 95,35.78510176,127.1331957
254,두산푸른솔어린이집,전라북도 전주시 완산구 양지1길 16-3,35.79092759,127.118871
255,노리숲어린이집,전라북도 전주시 완산구 삼천동1가 강변로 98,35.7998651,127.11169
256,엘드사랑의어린이집,전라북도 전주시 완산구 세내로 241,35.81273369,127.1096328
257,크는나무어린이집,전라북도 전주시 완산구 따박골로 46,35.81025701,127.1271244
258,해솜어린이집,전라북도 전주시 완산구 모악로 4681,35.78735976,127.1275753
259,꿈샘어린이집,전라북도 전주시 완산구 덕적골1길 33,35.79469344,127.1408195
260,맑은아이숲어린이집,전라북도 전주시 완산구 삼천천변1길 45,35.79572647,127.1152545
261,쑥쑥어린이집,전라북도 전주시 완산구 평화로 100,35.78663581,127.1348871
262,키즈콜럼버스어린이집,전라북도 전주시 완산구 고사평1길 8-13,35.83574996,127.1086454
263,한우리어린이집,전라북도 전주시 완산구 서곡로 11,35.83228661,127.0974986
264,튼튼아가어린이집,전라북도 전주시 완산구 당산로 55,35.83252847,127.1144094
265,노아어린이집,전라북도 전주시 완산구 안행2길 26,35.80361872,127.1283521
266,푸른어린이집,전라북도 전주시 완산구 평화로 95,35.78510176,127.1331957
267,뛰어라올챙이어린이집,전라북도 전주시 완산구 양지2길 10,35.79100213,127.1208614
268,꿈속어린이집,전라북도 전주시 완산구 평화동2가 맏내1길 5,35.79049694,127.1302943
269,평화어린이집,전라북도 전주시 완산구 평화로 120,35.78752842,127.1352116
270,꿈꾸는어린이집,전라북도 전주시 완산구 당산로 34,35.83154574,127.1112384
271,그린별어린이집,전라북도 전주시 완산구 영경1길 25,35.81826696,127.12524
272,행복한미키어린이집,전라북도 전주시 완산구 평화동1가 덕적골1길 50,35.79329229,127.1396979
273,신일아이사랑어린이집,전라북도 전주시 완산구 강변로 98,35.7998651,127.11169
274,병아리어린이집,전라북도 전주시 완산구 모악로 4685,35.78798652,127.1294969
275,하늘꿈어린이집,전라북도 전주시 완산구 강변로 106,35.80061326,127.1126323
276,캥거루어린이집,전라북도 전주시 완산구 거마산로 8-4,35.79670036,127.12256
277,맘스어린이집,전라북도 전주시 완산구 서신천변11길 22,35.8308328,127.1110926
278,민들레어린이집,전라북도 전주시 완산구 신촌3길 1,35.81613409,127.117514
279,에브리클럽어린이집,전라북도 전주시 완산구 여울로 79,35.83677982,127.1149517
280,예꿈어린이집,전라북도 전주시 완산구 안터3길 11,35.82853866,127.1193544
281,예삐어린이집,전라북도 전주시 완산구 서곡로 8,35.83177947,127.0966134
282,별초롱어린이집,전라북도 전주시 완산구 모악로 4651,35.78615975,127.1272936
283,하얀꿈어린이집,전라북도 전주시 완산구 난전들로 257,35.7911009,127.1158277
284,해피랜드24시어린이집,전라북도 전주시 완산구 새터로 100,35.83426465,127.1180498
285,동아어린이집,전라북도 전주시 완산구 새터로 95,35.83611797,127.1192697
286,푸른하늘어린이집,전라북도 전주시 완산구 삼천천변2길 51,35.79695088,127.1150192
287,햇살어린이집,전라북도 전주시 완산구 당산로 34,35.83154574,127.1112384
288,아이맘어린이집,전라북도 전주시 완산구 평화7길 40,35.78510901,127.1391306
289,엘지엄마사랑어린이집,전라북도 전주시 완산구 세내로 559,35.83349772,127.0977246
290,위드키즈어린이집,전라북도 전주시 완산구 서신천변13길 14-10,35.83111223,127.1127025
291,어깨동무어린이집,전라북도 전주시 완산구 선너머3길 19-9,35.8139317,127.1295081
292,키즈맘어린이집,전라북도 전주시 완산구 모악로 4681,35.78735976,127.1275753
293,열린교육어린이집,전라북도 전주시 완산구 양지2길 10,35.79100213,127.1208614
294,빛뜨란어린이집,전라북도 전주시 완산구 강변로 220-16,35.80952137,127.1139376
295,세창어린이집,전라북도 전주시 완산구 용리로 179,35.79995967,127.1275199
296,개구쟁이어린이집,전라북도 전주시 완산구 하거마4길 16,35.79531542,127.118571
297,즐거운미키어린이집,전라북도 전주시 완산구 삼천천변1길 45,35.79572647,127.1152545
298,콜럼버스어린이집,전라북도 전주시 완산구 삼천천변3길 20,35.7967368,127.112096
299,초록별 어린이집,전라북도 전주시 완산구 온고을로 119,35.83265626,127.1118344
300,휴플러스어린이집,전라북도 전주시 완산구 따박골4길 10,35.80671603,127.1278134
301,청아어린이집,전라북도 전주시 완산구 서곡로 22,35.83025964,127.0984415
302,마주노리어린이집,전라북도 전주시 완산구 용머리로 20,35.80415714,127.112516
303,까르르어린이집,전라북도 전주시 완산구 양지1길 16-3,35.79092759,127.118871
304,아이와어린이집,전라북도 전주시 완산구 효자동2가 우전로 180,35.81024102,127.1017938
305,꼬마벼리어린이집,전라북도 전주시 완산구 새터로 74,35.83521408,127.1142806
306,도담도담어린이집,전라북도 전주시 완산구 강변로 120,35.80156278,127.1128797
307,사랑샘어린이집,전라북도 전주시 완산구 용리로 179,35.79995967,127.1275199
308,팅커벨어린이집,전라북도 전주시 완산구 중화산동2가 영경1길 25,35.81826696,127.12524
309,재미랑어린이집,전라북도 전주시 완산구 서곡로 8,35.83177947,127.0966134
310,신난다어린이집,전라북도 전주시 완산구 당산로 101,35.83241109,127.118635
311,열방으로어린이집,전라북도 전주시 완산구 삼천천변2길 51,35.79695088,127.1150192
312,청운어린이집,전라북도 전주시 완산구 서곡로 34,35.83143239,127.0992794
313,둥근해어린이집,전라북도 전주시 완산구 삼천천변1길 32,35.79394568,127.1133443
314,엄마랑나랑어린이집,전라북도 전주시 완산구 평화로 120,35.78752842,127.1352116
315,세향어린이집,전라북도 전주시 완산구 소대배기로 33,35.78782363,127.1341297
316,도래샘어린이집,전라북도 전주시 완산구 새터로 100,35.83426465,127.1180498
317,예크어린이집,전라북도 전주시 완산구 서곡로 8,35.83177947,127.0966134
318,우리아가어린이집,전라북도 전주시 완산구 용머리로 29,35.80830077,127.1126286
319,행복한가정어린이집,전라북도 전주시 완산구 평화로 95,35.78510176,127.1331957
320,사과나무어린이집,전라북도 전주시 완산구 당산로 43,35.83252898,127.1126324
321,고운엄마품어린이집,전라북도 전주시 완산구 거마평로 109,35.80211162,127.1149155
322,꼬마대통령어린이집,전라북도 전주시 완산구 평화동2가 평화로 95,35.78510176,127.1331957
323,사랑가득어린이집,전라북도 전주시 완산구 서곡로 22,35.83025964,127.0984415
324,아가또래어린이집,전라북도 전주시 완산구 서신천변11길 22,35.8308328,127.1110926
325,살구나무어린이집,전라북도 전주시 완산구 평화로 95,35.78510176,127.1331957
326,아롱별어린이집,전라북도 전주시 완산구 서곡로 34,35.83143239,127.0992794
327,뽀로로어린이집,전라북도 전주시 완산구 전룡3길 11,35.82619013,127.1179281
328,파란나무어린이집,전라북도 전주시 완산구 효자동3가 유연로 217-11,35.82641738,127.1090006
329,예쁜사랑어린이집,전라북도 전주시 완산구 모악로 4705,35.78947492,127.1295343
330,대창가정어린이집,전라북도 전주시 완산구 새터로 100,35.83426465,127.1180498
331,평화그린어린이집,전라북도 전주시 완산구 평화로 100,35.78663581,127.1348871
332,이안어린이집,전라북도 전주시 완산구 삼천동1가 용리로 165,35.79912396,127.1249104
333,해피트리어린이집,전라북도 전주시 완산구 삼천천변3길 20,35.7967368,127.112096
334,아띠맘어린이집,전라북도 전주시 완산구 거마평로 139,35.80496429,127.1156678
335,곤지곤지어린이집,전라북도 전주시 완산구 평화로 100,35.78663581,127.1348871
336,다정어린이집,전라북도 전주시 완산구 삼천천변3길 20,35.7967368,127.112096
337,산들어린이집,전라북도 전주시 완산구 양지2길 10,35.79100213,127.1208614
338,금빛또래어린이집,전라북도 전주시 완산구 백제대로 31,35.79744025,127.1290677
339,꿈별어린이집,전라북도 전주시 완산구 서곡로 34,35.83143239,127.0992794
340,예스맘어린이집,전라북도 전주시 완산구 강변로 210,35.80700415,127.1106519
341,꿈이있는어린이집,전라북도 전주시 완산구 평화로 181,35.79264502,127.1358235
342,효자아이꿈어린이집,전라북도 전주시 완산구 거마평로 217,35.81083645,127.1143659
343,송정좋은친구 어린이집,전라북도 전주시 완산구 평화7길 40,35.78510901,127.1391306
344,송정아가방어린이집,전라북도 전주시 완산구 평화7길 40,35.78510901,127.1391306
345,솔밭영재어린이집,전라북도 전주시 완산구 양지2길 10,35.79100213,127.1208614
346,풍림아이원어린이집,전라북도 전주시 완산구 우전1길 40,35.80602744,127.105969
347,꿈오름 어린이집,전라북도 전주시 완산구 솟대로 10,35.79527015,127.1272377
348,베이비스쿨24시어린이집,전라북도 전주시 완산구 새터로 63,35.83579224,127.1129408
349,나래어린이집,전라북도 전주시 완산구 온고을로 119,35.83265626,127.1118344
350,아이깨비어린이집,전라북도 전주시 완산구 온고을로 119,35.83265626,127.1118344
351,삼천아기사랑어린이집,전라북도 전주시 완산구 삼천동1가 송정중앙로 19,35.80170479,127.1203491
352,파니파니어린이집,전라북도 전주시 완산구 서신로 102,35.83527881,127.1169762
353,엔젤어린이집,전라북도 전주시 완산구 세내로 559,35.83349772,127.0977246
354,해달별어린이집,전라북도 전주시 완산구 당산로 55,35.83252847,127.1144094
355,꽃잔디어린이집,전라북도 전주시 완산구 당산로 101,35.83241109,127.118635
356,꼬마꿈어린이집,전라북도 전주시 완산구 하거마6길 14-4,35.79719949,127.1187778
357,휴먼시아어린이집,전라북도 전주시 완산구 소태정로 1,35.80604358,127.0974304
358,도화어린이집,전라북도 전주시 완산구 용리로 162,35.79622852,127.1279569
359,젤로어린이집,전라북도 전주시 완산구 장승배기로 378-4,35.80472069,127.151084
360,송이송이어린이집,전라북도 전주시 완산구 백제대로 13,35.79628037,127.1306079
361,우리두리어린이집,전라북도 전주시 완산구 호암로 41,35.81043018,127.0993336
362,아이숲어린이집,전라북도 전주시 완산구 효자동2가 우전로 180,35.81024102,127.1017938
363,베이비팰리움어린이집,전라북도 전주시 완산구 호암로 40,35.80882672,127.0995864
364,나무숲어린이집,전라북도 전주시 완산구 용호로 147,35.81632844,127.0968513
365,풀빛유기농어린이집,전라북도 전주시 완산구 효자동3가 용호로 149,35.81656727,127.0968513
366,사랑숲어린이집,전라북도 전주시 완산구 신봉로 74,35.80877563,127.1222364
367,진주어린이집,전라북도 전주시 완산구 신봉로 64,35.80877022,127.1212615
368,해와달어린이집,전라북도 전주시 완산구 공북3길 27-2,35.82701916,127.1388072
369,행복웃음어린이집,전라북도 전주시 완산구 세내로 241,35.81273369,127.1096328
370,꼬마숲나라어린이집,전라북도 전주시 완산구 흑석로 31,35.80177473,127.1508681
371,현대아이사랑어린이집,전라북도 전주시 완산구 세내로 545,35.83269294,127.098777
372,브레인어린이집,전라북도 전주시 완산구 소태정5길 18-7,35.80452565,127.0979075
373,예린어린이집,전라북도 전주시 완산구 농소7길 23,35.81849684,127.0993172
374,꼬마스타어린이집,전라북도 전주시 완산구 효자동2가 소태정4길 23-4,35.80523276,127.1030025
375,예닮어린이집,전라북도 전주시 완산구 평화동2가 구이로 2065,35.78244163,127.1281826
376,금모래숲속어린이집,전라북도 전주시 완산구 평화동2가 양지3길 25,35.78978846,127.1204364
377,애플트리어린이집,전라북도 전주시 완산구 효자동2가 소태정로 1,35.80604358,127.0974304
378,연두어린이집,전라북도 전주시 완산구 효자동3가 농소7길 19,35.81839581,127.0989896
379,한아름어린이집,전라북도 전주시 완산구 효자동2가 호암로 40,35.80882672,127.0995864
380,금호리베폴어린이집,전라북도 전주시 완산구 효자동1가 효동3길 33,35.80246017,127.1298411
381,열린꼬마숲어린이집,전라북도 전주시 완산구 효자동1가 효동3길 33,35.80246017,127.1298411
382,테바솔어린이집,전라북도 전주시 완산구 효자동3가 농소7길 32-16,35.81807066,127.0991793
383,예수병원어린이집,전라북도 전주시 완산구 강당5길 18,35.81378907,127.1354474
384,전라북도청어린이집,전라북도 전주시 완산구 효자동3가 효자로 225,35.81944731,127.1063738
385,전북지방경찰청어린이집,전라북도 전주시 완산구 효자동3가 유연로 180,35.82426419,127.1050362
386,전주대학교 수퍼스타어린이집,전라북도 전주시 완산구 효자동2가 천잠로 303,35.81616417,127.0888841
